First Letter;Number Languages;Writing Hand;Shoe Size;Height;Blood Type;Resus Factor;Siblings;Internet Purchase;Mobile Devices;Leisure;Hours Math;Importance AI Study;Antwerp Address;Travel Distance;Travel Time;Driver License;Smoker;Fruit;Favorite Fruit;OS;App;Biden;Class Mascot;Study Load
I;3;Right;46;193;Unknown;Unknown;1;No;3;Gaming;7;Great importance;No;25;60;Yes;Yes;1 or less;1=Banana,2=Strawberry,3=Pineapple,4=Kiwi,5=Apple,6=Cherry,7=Orange,8=Melon,9=Pear,10=Plum;Windows;Social Netwerk App;4;1=Otter,2=Raccoon,3=Beaver,4=Panther,5=Cougar,6=Fox,7=Brown Bear,8=Badger,9=Bison,10=Wolf;16-20 hours
M;2;Right;43;193;Unknown;Unknown;0;Yes;2;Watching movie/TV series;3;Very great importance;Yes;0.9;10;No;No;1 or less;1=Banana,2=Cherry,3=Pear,4=Plum,5=Orange,6=Kiwi,7=Apple,8=Pineapple,9=Strawberry,10=Melon;iOS;Social Netwerk App;4;1=Otter,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Panther;11-15 hours
M;3;Right;42;173;O;-;1;Yes;3;Watching movie/TV series;10;Great importance;Yes;1;9;No;No;1 or less;1=Cherry,2=Strawberry,3=Apple,4=Orange,5=Kiwi,6=Banana,7=Pineapple,8=Melon,9=Pear,10=Plum;iOS;Pay app;4;1=Beaver,2=Brown Bear,3=Panther,4=Cougar,5=Badger,6=Bison,7=Fox,8=Raccoon,9=Wolf,10=Otter;21-25 hours
G;3;Right;44.5;179;O;-;1;Yes;2;Music (play/listen);6;Great importance;Yes;3.5;15;No;Yes;2;1=Strawberry,2=Banana,3=Apple,4=Orange,5=Kiwi,6=Cherry,7=Pineapple,8=Melon,9=Plum,10=Pear;Windows;Pay app;2;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;16-20 hours
V;2;Right;43;178;A;+;1;Yes;2;Gaming;4;Moderate importance;Yes;3;20;No;No;1 or less;1=Banana,2=Orange,3=Strawberry,4=Pear,5=Apple,6=Melon,7=Kiwi,8=Plum,9=Cherry,10=Pineapple;Windows;Other App;4;1=Wolf,2=Fox,3=Beaver,4=Otter,5=Bison,6=Brown Bear,7=Raccoon,8=Badger,9=Cougar,10=Panther;11-15 hours
I;3;Right;38;163;A;+;0;Yes;2;Watching movie/TV series;4;Great importance;Yes;2.6;9;No;Yes;1 or less;1=Strawberry,2=Cherry,3=Kiwi,4=Orange,5=Pineapple,6=Banana,7=Apple,8=Melon,9=Pear,10=Plum;Windows;Comics/Manga reader App;4;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;16-20 hours
I;2;Right;42;178;Unknown;Unknown;2;Yes;3;Sport (practicing/supporting);6;Great importance;Yes;1;10;Yes;Yes;1 or less;1=Pineapple,2=Banana,3=Strawberry,4=Apple,5=Cherry,6=Melon,7=Orange,8=Kiwi,9=Pear,10=Plum;Windows;Banking Operations App;0;1=Wolf,2=Panther,3=Fox,4=Brown Bear,5=Bison,6=Raccoon,7=Beaver,8=Badger,9=Otter,10=Cougar;21-25 hours
V;3;Right;45;191;O;+;4;Yes;4;Sport (practicing/supporting);5;Very great importance;No;25;30;Yes;No;1 or less;1=Pineapple,2=Melon,3=Cherry,4=Apple,5=Plum,6=Orange,7=Kiwi,8=Banana,9=Pear,10=Strawberry;Windows;Banking Operations App;0;1=Panther,2=Brown Bear,3=Otter,4=Fox,5=Bison,6=Badger,7=Wolf,8=Cougar,9=Badger,10=Raccoon;21-25 hours
G;4;Right;39;170;O;-;1;Yes;4;Gaming;5;Great importance;No;50;53;No;Yes;2;1=Cherry,2=Strawberry,3=Plum,4=Kiwi,5=Banana,6=Pear,7=Pear,8=Melon,9=Pineapple,10=Apple;Windows;Social Netwerk App;4;1=Raccoon,2=Panther,3=Cougar,4=Bison,5=Brown Bear,6=Wolf,7=Fox,8=Otter,9=Beaver,10=Badger;16-20 hours
f;4;Right;39;162;O;+;1;No;3;Reading comics and/or manga;5;Moderate importance;Yes;6;17;No;No;2;1=Strawberry,2=Melon,3=Plum,4=Orange,5=Kiwi,6=Cherry,7=Pineapple,8=Apple,9=Pear,10=Banana;Windows;Book reader App;4;1=Fox,2=Brown Bear,3=Panther,4=Badger,5=Bison,6=Otter,7=Cougar,8=Wolf,9=Beaver,10=Raccoon;21-25 hours
T;4;Right;43;183;Unknown;Unknown;0;Yes;2;Music (play/listen);10;Very great importance;Yes;6;35;No;No;2;1=Melon,2=Plum,3=Banana,4=Strawberry,5=Pineapple,6=Orange,7=Strawberry,8=Pear,9=Kiwi,10=Apple;Windows;Browser App;7;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;>= 41 hours
S;5;Right;43;174;B;+;2;No;2;Watching movie/TV series;4;Moderate importance;Yes;10;25;Yes;No;1 or less;1=Pineapple,2=Strawberry,3=Kiwi,4=Melon,5=Pear,6=Banana,7=Cherry,8=Plum,9=Orange,10=Apple;Windows;Social Netwerk App;3;1=Panther,2=Fox,3=Wolf,4=Brown Bear,5=Raccoon,6=Beaver,7=Badger,8=Bison,9=Otter,10=Cougar;11-15 hours
L;3;Left;45;185;Unknown;Unknown;2;Yes;2;Sport (practicing/supporting);4;Great importance;Yes;10;40;No;No;1 or less;1=Cherry,2=Banana,3=Orange,4=Plum,5=Pear,6=Kiwi,7=Apple,8=Pineapple,9=Melon,10=Strawberry;Windows;Browser App;4;1=Fox,2=Raccoon,3=Wolf,4=Panther,5=Brown Bear,6=Bison,7=Otter,8=Beaver,9=Badger,10=Cougar;21-25 hours
A;3;Left;42;182;A;-;1;Yes;3;Gaming;3;Great importance;Yes;28;45;No;No;1 or less;1=Apple,2=Banana,3=Strawberry,4=Orange,5=Pineapple,6=Pear,7=Melon,8=Plum,9=Cherry,10=Kiwi;iOS;Social Netwerk App;3;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;<= 10 hours
M;6;Right;37;160;Unknown;Unknown;2;Yes;3;Music (play/listen);3;Moderate importance;Yes;25.7;25;No;No;4;1=Strawberry,2=Apple,3=Orange,4=Cherry,5=Banana,6=Kiwi,7=Plum,8=Pear,9=Melon,10=Pineapple;iOS;Other App;3;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;21-25 hours
M;5;Right;38;158;Unknown;Unknown;2;Yes;3;Music (play/listen);3;Great importance;Yes;26;35;Yes;No;3;1=Strawberry,2=Pineapple,3=Orange,4=Pear,5=Apple,6=Plum,7=Kiwi,8=Banana,9=Cherry,10=Melon;iOS;Other App;3;1=Wolf,2=Fox,3=Panther,4=Bison,5=Beaver,6=Raccoon,7=Cougar,8=Otter,9=Badger,10=Brown Bear;21-25 hours
g;3;Right;45;196;A;+;1;Yes;2;Dancing;2;Moderate importance;Yes;0.7;10;Yes;No;2;1=Banana,2=Kiwi,3=Melon,4=Orange,5=Plum,6=Strawberry,7=Pear,8=Cherry,9=Pineapple,10=Apple;iOS;Browser App;2;1=Wolf,2=Brown Bear,3=Fox,4=Panther,5=Cougar,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;21-25 hours
M;3;Right;36;164;A;+;1;Yes;2;Watching movie/TV series;3;Very great importance;No;6;78;No;No;3;1=Strawberry,2=Melon,3=Banana,4=Cherry,5=Orange,6=Pear,7=Apple,8=Pineapple,9=Kiwi,10=Plum;Windows;Social Netwerk App;3;1=Fox,2=Wolf,3=Raccoon,4=Otter,5=Panther,6=Cougar,7=Beaver,8=Brown Bear,9=Badger,10=Bison;>= 41 hours
K;2;Right;42;171;Unknown;Unknown;1;Yes;3;Sport (practicing/supporting);6;Moderate importance;Yes;0.6;7;No;No;2;1=Orange,2=Apple,3=Banana,4=Melon,5=Pineapple,6=Strawberry,7=Pear,8=Cherry,9=Kiwi,10=Plum;Windows;Browser App;2;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;21-25 hours
J;2;Right;42;174;A;+;2;Yes;2;Music (play/listen);2;Very great importance;Yes;1;12;No;No;1 or less;1=Strawberry,2=Banana,3=Orange,4=Melon,5=Apple,6=Kiwi,7=Pear,8=Plum,9=Kiwi,10=Pineapple;Windows;Public Transport App;4;1=Wolf,2=Fox,3=Panther,4=Brown Bear,5=Panther,6=Cougar,7=Badger,8=Raccoon,9=Beaver,10=Otter;16-20 hours
A;2;Right;38;169;O;+;0;Yes;2;Other;5;Extreemly important;Yes;6;30;Yes;No;2;1=Kiwi,2=Pineapple,3=Pear,4=Plum,5=Orange,6=Banana,7=Apple,8=Cherry,9=Melon,10=Strawberry;Windows;Social Netwerk App;2;1=Bison,2=Otter,3=Beaver,4=Cougar,5=Fox,6=Panther,7=Wolf,8=Badger,9=Raccoon,10=Brown Bear;16-20 hours
A;3;Right;45;180;Unknown;Unknown;0;Yes;2;Other;288;Very great importance;Yes;3;15;Yes;No;1 or less;1=Apple,2=Orange,3=Strawberry,4=Banana,5=Kiwi,6=Cherry,7=Pear,8=Plum,9=Pineapple,10=Melon;Windows;Browser App;1;1=Beaver,2=Raccoon,3=Bison,4=Otter,5=Fox,6=Cougar,7=Brown Bear,8=Wolf,9=Badger,10=Panther;31-35 hours
M;2;Right;45;182;Unknown;Unknown;2;No;2;Reading comics and/or manga;0;Moderate importance;Yes;21;51;No;No;1 or less;1=Melon,2=Banana,3=Kiwi,4=Orange,5=Strawberry,6=Apple,7=Pineapple,8=Cherry,9=Plum,10=Pear;Windows;Pay app;4;1=Wolf,2=Brown Bear,3=Beaver,4=Fox,5=Otter,6=Panther,7=Bison,8=Cougar,9=Badger,10=Raccoon;21-25 hours
M;2;Right;45;196;AB;Unknown;15;Yes;3;Music (play/listen);6;Extreemly important;Yes;0;8;Yes;Yes;2;1=Strawberry,2=Apple,3=Banana,4=Cherry,5=Orange,6=Kiwi,7=Melon,8=Plum,9=Pineapple,10=Pear;Windows;Social Netwerk App;4;1=Panther,2=Wolf,3=Brown Bear,4=Beaver,5=Fox,6=Bison,7=Raccoon,8=Badger,9=Cougar,10=Otter;21-25 hours
N;2;Right;42;155;Unknown;Unknown;0;No;2;Sport (practicing/supporting);5;Moderate importance;Yes;0.9;10;No;No;1 or less;1=Banana,2=Apple,3=Orange,4=Cherry,5=Pineapple,6=Strawberry,7=Plum,8=Pear,9=Kiwi,10=Melon;Windows;Browser App;3;1=Panther,2=Wolf,3=Brown Bear,4=Fox,5=Beaver,6=Badger,7=Bison,8=Raccoon,9=Otter,10=Cougar;16-20 hours
T;3;Left;44;184;Unknown;Unknown;4;Yes;3;Sport (practicing/supporting);0;Very great importance;Yes;2;10;No;No;2;1=Strawberry,2=Pineapple,3=Cherry,4=Banana,5=Orange,6=Kiwi,7=Melon,8=Pear,9=Apple,10=Plum;Windows;Social Netwerk App;4;1=Beaver,2=Brown Bear,3=Panther,4=Cougar,5=Fox,6=Wolf,7=Badger,8=Bison,9=Raccoon,10=Otter;21-25 hours
M;3;Right;44;180;O;Unknown;5;Yes;4;Watching movie/TV series;40;Extreemly important;No;92;105;No;No;2;1=Pineapple,2=Banana,3=Cherry,4=Kiwi,5=Melon,6=Pear,7=Plum,8=Orange,9=Strawberry,10=Apple;Windows;Book reader App;1;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,8=Raccoon,9=Otter;26-30 hours
D;3;Right;39;178;B;+;1;Yes;4;Dancing;11;Extreemly important;Yes;2;22;Yes;Yes;2;1=Pineapple,2=Cherry,3=Strawberry,4=Orange,5=Banana,6=Apple,7=Kiwi,8=Pear,9=Plum,10=Melon;Windows;Social Netwerk App;4;1=Fox,2=Raccoon,3=Otter,4=Panther,5=Brown Bear,6=Badger,7=Cougar,8=Wolf,9=Beaver,10=Bison;31-35 hours
N;4;Right;43;178;Unknown;Unknown;1;No;2;Internet/Social Media;3 hours a week;Very great importance;Yes;1;10;No;No;1 or less;1=Apple,2=Melon,3=Banana,4=Pear,5=Plum,6=Cherry,7=Orange,8=Strawberry,9=Pineapple,10=Kiwi;Windows;Banking Operations App;6;1=Wolf,2=Bison,3=Panther,4=Fox,5=Cougar,6=Raccoon,7=Otter,8=Badger,9=Beaver,10=Brown Bear;26-30 hours
S;3;Right;44.5;178;O;+;1;Yes;3;Gaming;6;Moderate importance;Yes;3.3 ;19;No;No;1 or less;1=Banana,2=Strawberry,3=Apple,4=Pear,5=Cherry,6=Orange,7=Melon,8=Plum,9=Kiwi,10=Pineapple;Windows;GPS App;4;1=Otter,2=Wolf,3=Panther,4=Raccoon,5=Badger,6=Brown Bear,7=Fox,8=Cougar,9=Beaver,10=Bison;26-30 hours
N;4;Right;37;164;Unknown;Unknown;3;Yes;2;Watching movie/TV series;7;Very great importance;Yes;1.9;20;No;No;1 or less;1=Strawberry,2=Pineapple,3=Cherry,4=Pineapple,5=Banana,6=Orange,7=Kiwi,8=Apple,9=Plum,10=Melon;iOS;Brain Puzzle App;4;1=Fox,2=Panther,3=Fox,4=Brown Bear,5=Bison,6=Cougar,7=Beaver,8=Raccoon,9=Badger,10=Otter;>= 41 hours
s;4;Right;43;178;Unknown;Unknown;2;No;2;Watching movie/TV series;10;Great importance;Yes;1;10;No;No;1 or less;1=Pineapple,2=Melon,3=Pear,4=Apple,5=Orange,6=Cherry,7=Kiwi,8=Banana,9=Strawberry,10=Plum;Windows;Browser App;4;1=Wolf,2=Panther,3=Brown Bear,4=Fox,5=Cougar,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;36-40 hours
S;2;Right;43;181;A;+;0;Yes;2;Music (play/listen);25;Great importance;Yes;0.2;2;No;Yes;1 or less;1=Banana,2=Apple,3=Melon,4=Pear,5=Orange,6=Strawberry,7=Cherry,8=Plum,9=Pineapple,10=Kiwi;Windows;Banking Operations App;4;1=Panther,2=Wolf,3=Brown Bear,4=Fox,5=Badger,6=Bison,7=Raccoon,8=Beaver,9=Otter,10=Cougar;31-35 hours
N;3;Right;45;190;A;Unknown;1;Yes;2;Gaming;6;Moderate importance;Yes;1.5;15;No;No;2;1=Pear,2=Strawberry,3=Plum,4=Banana,5=Cherry,6=Apple,7=Pineapple,8=Kiwi,9=Orange,10=Melon;Windows;Social Netwerk App;4;1=Raccoon,2=Otter,3=Bison,4=Fox,5=Beaver,6=Badger,7=Brown Bear,8=Wolf,9=Cougar,10=Panther;16-20 hours
S;2;Right;44;190;Unknown;Unknown;1;No;2;Gaming;3;Little importance;Yes;0.6;15;Yes;No;2;1=Apple,2=Banana,3=Pear,4=Orange,5=Cherry,6=Strawberry,7=Plum,8=Kiwi,9=Melon,10=Pineapple;Windows;Browser App;2;1=Wolf,2=Brown Bear,3=Panther,4=Cougar,5=Fox,6=Bison,7=Beaver,8=Badger,9=Otter,10=Raccoon;21-25 hours
S;2;Right;43;185;B;-;2;Yes;3;Gaming;4;Extreemly important;Yes;42;65;No;Yes;1 or less;1=Banana,2=Apple,3=Pear,4=Strawberry,5=Kiwi,6=Melon,7=Plum,8=Orange,9=Cherry,10=Pineapple;Windows;GPS App;2;1=Panther,2=Fox,3=Wolf,4=Beaver,5=Otter,6=Cougar,7=Badger,8=Raccoon,9=Bison,10=Brown Bear;21-25 hours
N;4;Right;43;185;AB;+;1;Yes;3;Other;3;Great importance;No;44;90;No;Yes;2;1=Cherry,2=Orange,3=Strawberry,4=Kiwi,5=Banana,6=Pineapple,7=Pear,8=Plum,9=Apple,10=Melon;iOS;Pay app;4;1=Beaver,2=Bison,3=Brown Bear,4=Wolf,5=Panther,6=Raccoon,7=Otter,8=Fox,9=Badger,10=Cougar;21-25 hours
J;3;Right;47;194;A;+;1;Yes;3;Gaming;5;Great importance;No;27;45;Yes;No;2;1=Strawberry,2=Apple,3=Banana,4=Kiwi,5=Pear,6=Plum,7=Melon,8=Cherry,9=Orange,10=Pineapple;Windows;Browser App;4;1=Fox,2=Brown Bear,3=Wolf,4=Otter,5=Bison,6=Panther,7=Cougar,8=Beaver,9=Raccoon,10=Badger;16-20 hours
A;2;Right;42;176;AB;Unknown;1;Yes;3;Reading comics and/or manga;6;Great importance;Yes;2;7;No;Yes;2;1=Kiwi,2=Banana,3=Orange,4=Pineapple,5=Melon,6=Cherry,7=Pear,8=Apple,9=Plum,10=Strawberry;Windows;Public Transport App;4;1=Raccoon,2=Fox,3=Wolf,4=Otter,5=Beaver,6=Brown Bear,7=Bison,8=Panther,9=Cougar,10=Badger;21-25 hours
I;3;Right;38;165;AB;Unknown;1;Yes;3;Gaming;20;Extreemly important;Yes;1.6;20;No;No;2;1=Orange,2=Melon,3=Cherry,4=Plum,5=Kiwi,6=Pear,7=Banana,8=Apple,9=Strawberry,10=Pineapple;iOS;Browser App;8;1=Fox,2=Raccoon,3=Panther,4=Cougar,5=Wolf,6=Brown Bear,7=Beaver,8=Badger,9=Bison,10=Otter;26-30 hours
m;3;Right;42;183;Unknown;Unknown;2;No;3;Other;5;Extreemly important;No;54;100;No;No;1 or less;1=Apple,2=Strawberry,3=Banana,4=Orange,5=Kiwi,6=Melon,7=Plum,8=Cherry,9=Pear,10=Pineapple;Windows;Social Netwerk App;4;1=Panther,2=Brown Bear,3=Cougar,4=Wolf,5=Fox,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;11-15 hours
Y;3;Right;38;160;B;Unknown;2;No;3;Watching movie/TV series;4;Great importance;Yes;2;20;Yes;No;1 or less;1=Apple,2=Pineapple,3=Orange,4=Cherry,5=Kiwi,6=Plum,7=Strawberry,8=Melon,9=Pear,10=Banana;Windows;Browser App;2;1=Wolf,2=Brown Bear,3=Beaver,4=Fox,5=Raccoon,6=Cougar,7=Otter,8=Badger,9=Bison,10=Panther;21-25 hours
S;2;Right;38;156;A;+;2;Yes;2;Dancing;8;Great importance;No;56.5;110;No;No;2;1=Apple,2=Banana,3=Pineapple,4=Orange,5=Pear,6=Strawberry,7=Melon,8=Plum,9=Cherry,10=Kiwi;Windows;Comics/Manga reader App;2;1=Panther,2=Brown Bear,3=Fox,4=Wolf,5=Cougar,6=Bison,7=Beaver,8=Raccoon,9=Otter,10=Badger;21-25 hours
O;2;Right;38;165;O;+;2;No;5;Music (play/listen);0;Very great importance;No;49;100;Yes;No;3;1=Apple,2=Banana,3=Strawberry,4=Melon,5=Pear,6=Kiwi,7=Cherry,8=Plum,9=Orange,10=Pineapple;Windows;Browser App;2;1=Beaver,2=Otter,3=Badger,4=Brown Bear,5=Cougar,6=Panther,7=Bison,8=Fox,9=Wolf,10=Raccoon;31-35 hours
A;3;Right;39;156;Unknown;Unknown;1;Yes;2;Music (play/listen);2;Very great importance;Yes;6;80;No;Yes;2;1=Melon,2=Orange,3=Pineapple,4=Cherry,5=Plum,6=Strawberry,7=Kiwi,8=Apple,9=Banana,10=Pear;Windows;Browser App;4;1=Fox,2=Wolf,3=Raccoon,4=Badger,5=Otter,6=Panther,7=Brown Bear,8=Beaver,9=Cougar,10=Bison;26-30 hours
M;2;Right;32;173;O;+;7;Yes;1;Watching movie/TV series; 4 hours;Very great importance;Yes;17.5;1;No;Yes;1 or less;1=Pineapple,2=Apple,3=Strawberry,4=Banana,5=Cherry,6=Melon,7=Orange,8=Cherry,9=Plum,10=Kiwi;Windows;Pay app;4;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;16-20 hours
L;3;Left;38;163;O;+;1;Yes;3;Watching movie/TV series;4;Moderate importance;Yes;2.5;20;Yes;No;1 or less;1=Cherry,2=Strawberry,3=Melon,4=Kiwi,5=Pineapple,6=Plum,7=Apple,8=Banana,9=Orange,10=Pear;Windows;Browser App;2;1=Raccoon,2=Otter,3=Badger,4=Beaver,5=Brown Bear,6=Fox,7=Cougar,8=Wolf,9=Panther,10=Bison;36-40 hours
I;3;Right;44;187;O;+;3;Yes;3;Sport (practicing/supporting);9;Very great importance;Yes;2.3;3.6;No;Yes;3;1=Apple,2=Strawberry,3=Orange,4=Pineapple,5=Banana,6=Cherry,7=Melon,8=Pear,9=Kiwi,10=Plum;Windows;Browser App;4;1=Beaver,2=Brown Bear,3=Badger,4=Panther,5=Wolf,6=Bison,7=Raccoon,8=Otter,9=Cougar,10=Fox;16-20 hours
M;4;Right;38;160;A;+;4;Yes;3;Music (play/listen);3;Very great importance;Yes;6.8 ;36;No;No;1 or less;1=Strawberry,2=Plum,3=Apple,4=Orange,5=Cherry,6=Melon,7=Pear,8=Kiwi,9=Banana,10=Pineapple;iOS;Social Netwerk App;4;1=Brown Bear,2=Panther,3=Wolf,4=Beaver,5=Otter,6=Bison,7=Cougar,8=Badger,9=Raccoon,10=Fox;16-20 hours
