id,happiness,stressLevel,number,satisfaction,timeSeries1,timeSeries4,backnumber,income,appreciation,amount,measurement2,color,timeSeries3,province,measurement4,measurement3,weight,visibility,totalAmount,amountRain,size,cpuType,timeSeries2,result,RichterScale,civilState,measurement1,sick,date
1129,"4","7",10,"5",29.4,55.78,"5",2968.39,"6",1599.27,-12020,"green",63.23,"Flemish Brabant",161,-2199,67.2,"reasonable",7666.98,6.11,"large","i3",61.87,"C (good)","magnitude 2","de facto cohabiting",48,"Yes",2019-01-11
1130,"3","3",11,"3",28.7,48.16,"10",2204.39,"2",1283.54,-9263,"blue",26.45,"Luxembourg",146,-1796,64.3,"excellent",8058.45,4.29,"large","i5",46.28,"C (good)","magnitude 7","married",64,"No",2019-01-12
1131,"2","6",11,"5",32.63,51.68,"5",2768.72,"7",1817.2,-11622,"green",58.52,"East Flanders",178,-3416,65,"excellent",9360.52,5.62,"normal","i3",43.96,"D (could be better)","magnitude 7","de facto cohabiting",53,"No",2019-01-13
1132,"4","9",9,"3",11.09,28.52,"6",2451.57,"1",1190.89,-6734,"blue",52.64,"West Flanders",134,-1432,70.9,"excellent",8605.71,5.57,"small","i5",74.37,"A (excellent)","magnitude 1","married",43,"No",2019-01-14
1133,"4","8",10,"1",1.26,64.88,"1",2714.57,"7",1296.85,-12588,"green",74.17,"West Flanders",158,-1592,57.1,"bad",9796.33,4.97,"small","i7",56.75,"C (good)","magnitude 3","de facto cohabiting",44,"No",2019-01-15
1134,"5","10",11,"5",42.69,81.96,"6",2177.09,"8",1504.01,-8056,"orange",36,"Flemish Brabant",172,-2591,65.5,"excellent",9105.5,5.29,"large","i7",39.12,"C (good)","magnitude 1","married",58,"Yes",2019-01-16
1135,"3","6",11,"3",31.33,64.5,"7",3065.24,"2",1487.45,-9856,"indigo",71.91,"Flemish Brabant",141,-2390,71.3,"reasonable",7535.64,4.78,"large","i3",34.57,"A (excellent)","magnitude 5","married",65,"Yes",2019-01-17
1136,"3","7",11,"3",48.35,73.51,"4",2755.82,"2",1583.38,-12012,"green",61.57,"Limburg",193,-2816,69,"bad",9056.98,4.78,"large","i3",82.78,"B (very good)","magnitude 5","married",53,"No",2019-01-18
1137,"3","4",9,"3",24.4,46.36,"11",2189.04,"2",1612.03,-6845,"red",82.92,"Namur",158,-2136,72.7,"excellent",7623.45,5.1,"small","i3",73.02,"C (good)","magnitude 5","widow(er)",48,"No",2019-01-19
1138,"3","5",10,"3",22.87,83.96,"6",2296.97,"5",1127.47,-10851,"violet",49.99,"Liege",147,-899,70.1,"excellent",8557.04,5.02,"small","i3",75.37,"D (could be better)","magnitude 5","de facto cohabiting",53,"No",2019-01-20
1139,"1","2",10,"5",72.88,101.7,"11",3129.2,"6",1675.64,-13058,"blue",81.58,"East Flanders",127,-2999,69.8,"good",8524.92,4.93,"small","i3",82.82,"C (good)","magnitude 9","de facto cohabiting",60,"No",2019-01-21
1140,"3","6",10,"1",-11.85,75.72,"8",2791.37,"10",1568.02,-13170,"green",69.81,"West Flanders",125,-2169,73,"excellent",7886.9,5.71,"small","i7",67.47,"C (good)","magnitude 3","de facto cohabiting",55,"No",2019-01-22
1141,"2","5",11,"3",39.18,86.81,"10",2116.91,"7",1373.79,-10320,"violet",90.62,"Luxembourg",187,-1907,75.6,"excellent",9876.48,5.36,"large","i3",65.48,"C (good)","magnitude 5","de facto cohabiting",49,"No",2019-01-23
1142,"4","10",10,"1",39.79,68.72,"4",2656.14,"4",1483.35,-12268,"green",55.45,"Walloon Brabant",172,-2496,61.1,"excellent",8679.64,5.49,"large","i7",95.75,"B (very good)","magnitude 2","married",47,"Yes",2019-01-24
1143,"2","1",10,"3",42.58,99.29,"7",2188.15,"6",1395.8,-10154,"green",85.58,"West Flanders",143,-1740,61.4,"excellent",9047.95,4.9,"normal","i7",77.77,"D (could be better)","magnitude 9","divorced",46,"Yes",2019-01-25
1144,"3","6",12,"3",21.06,117.6,"5",2149.2,"8",1653.22,-9233,"violet",76.88,"Hainaut",193,-2699,66.1,"bad",10468.07,4.61,"large","i7",60.23,"C (good)","magnitude 5","de facto cohabiting",61,"No",2019-01-26
1145,"4","10",11,"3",11.29,101.2,"11",2651.27,"10",1517.46,-12266,"violet",104.4,"East Flanders",178,-1921,68.3,"excellent",8413.53,5.73,"large","i3",55.47,"B (very good)","magnitude 2","divorced",56,"No",2019-01-27
1146,"4","6",10,"3",50.97,100.4,"3",2637.26,"5",1266.36,-11156,"green",67.15,"Limburg",186,-1590,60.9,"bad",8777.36,5.2,"large","i5",103.9,"C (good)","magnitude 1","divorced",53,"No",2019-01-28
1147,"3","6",10,"5",41.39,82.92,"5",2275.7,"4",1772.34,-8513,"green",100.8,"Luxembourg",165,-2520,64.9,"reasonable",8458.44,4.65,"large","i3",93.87,"B (very good)","magnitude 5","legal cohabitation",47,"No",2019-01-29
1148,"4","6",11,"5",59.33,110.4,"9",2676.44,"7",1776.98,-12445,"violet",92.01,"Luxembourg",206,-3103,59.3,"excellent",9568.16,5.02,"large","i3",96.4,"C (good)","magnitude 3","legal cohabitation",53,"No",2019-01-30
1149,"5","10",10,"1",35.26,125.5,"10",2751.86,"6",1612.73,-11603,"red",114.8,"Walloon Brabant",160,-2405,54.4,"excellent",9012.56,4.69,"small","i7",103.8,"C (good)","magnitude 1","married",56,"Yes",2019-01-31
1150,"4","9",12,"3",31.69,115.6,"4",2250.79,"7",1416.71,-11654,"blue",76.27,"Limburg",198,-1815,72.5,"excellent",8249.36,5.07,"normal","i3",88.68,"D (could be better)","magnitude 1","married",59,"No",2019-02-01
1151,"2","2",10,"5",83.4,118.4,"9",2729.5,"8",1704.74,-11431,"green",106.4,"West Flanders",174,-2639,62.2,"bad",9496.88,5.54,"large","i3",86.15,"D (could be better)","magnitude 9","widow(er)",47,"No",2019-02-02
1152,"5","8",11,"1",-0.1451,98.21,"4",2561.63,"9",1402.05,-10263,"blue",104.3,"Hainaut",168,-1831,59.3,"excellent",7728.65,4.76,"small","i7",116.9,"D (could be better)","magnitude 1","widow(er)",62,"No",2019-02-03
1153,"3","3",10,"3",46.46,133.3,"7",2934.96,"9",1477.68,-13910,"violet",125.9,"Limburg",195,-2111,75,"excellent",8841.65,5.06,"large","i7",98.67,"D (could be better)","magnitude 5","legal cohabitation",51,"Yes",2019-02-04
1154,"5","8",9,"5",48.46,138.7,"7",2537.98,"2",1716.01,-9990,"green",82.9,"Limburg",154,-2794,58.3,"excellent",7018.2,5.24,"large","i3",81.38,"B (very good)","magnitude 1","divorced",41,"No",2019-02-05
1155,"5","8",9,"1",51.42,125.1,"5",2807.32,"9",1685.96,-9155,"indigo",121.7,"Luxembourg",164,-2223,74.2,"excellent",9276.59,4.72,"large","i5",76.6,"E (insufficient)","magnitude 1","married",57,"Yes",2019-02-06
1156,"1","3",9,"3",33.2,137.5,"1",2308.4,"4",1610.71,-9350,"green",107.2,"Luxembourg",147,-2169,59.7,"excellent",8724.58,4.15,"small","i7",124.5,"C (good)","magnitude 9","married",39,"Yes",2019-02-07
1157,"4","6",9,"3",20.61,111.9,"11",2849.24,"6",1532.88,-12542,"violet",133.7,"West Flanders",165,-2464,56.5,"bad",8646.7,4.9,"small","i7",115.1,"E (insufficient)","magnitude 3","married",36,"Yes",2019-02-08
1158,"2","2",12,"3",63.92,143.4,"1",2983.33,"7",1571.1,-9637,"violet",96.78,"Limburg",184,-1896,50.7,"excellent",7563.34,4.57,"large","i3",117.6,"D (could be better)","magnitude 8","divorced",46,"No",2019-02-09
1159,"4","7",11,"1",51.3,158.5,"4",2975.66,"7",1648.59,-11905,"yellow",129,"Namur",184,-2529,56.7,"reasonable",8458.87,5.47,"large","i7",124.4,"C (good)","magnitude 2","married",60,"No",2019-02-10
1160,"3","5",8,"1",66.54,135.4,"8",2531.47,"2",1668.73,-10095,"yellow",125.4,"Liege",136,-2848,67.7,"excellent",10111.99,4.96,"large","i5",109.3,"B (very good)","magnitude 5","married",39,"No",2019-02-11
1161,"3","4",10,"1",44.5,145.9,"8",2846.71,"10",1391.46,-10257,"green",140.4,"Flemish Brabant",178,-1813,53.5,"excellent",9498.14,4.92,"small","i5",107.2,"C (good)","magnitude 4","married",49,"No",2019-02-12
1162,"2","7",10,"3",42.56,128.8,"2",2836.26,"7",1342.3,-10153,"blue",107.3,"West Flanders",164,-1787,70.9,"bad",9398.35,4.21,"small","i7",137.9,"D (could be better)","magnitude 4","married",53,"Yes",2019-02-13
1163,"3","6",10,"1",93.28,154.6,"4",2606.29,"8",1675.04,-12612,"red",146.7,"Hainaut",158,-2617,72.9,"excellent",9270.9,4.48,"large","i7",120,"E (insufficient)","magnitude 5","de facto cohabiting",48,"Yes",2019-02-14
1164,"2","4",9,"3",8.271,174.6,"3",2803.37,"1",1522.24,-11134,"violet",128.3,"West Flanders",130,-2556,68.1,"bad",9262.87,5.23,"large","i3",102.3,"B (very good)","magnitude 8","married",37,"No",2019-02-15
1165,"2","3",9,"1",58.98,159.8,"1",1967.66,"9",1491.2,-8408,"green",152.3,"West Flanders",123,-2419,61.2,"excellent",7306.4,4.91,"large","i7",97.75,"E (insufficient)","magnitude 7","widow(er)",35,"Yes",2019-02-16
1166,"5","9",8,"1",58.85,160.5,"2",2698.13,"8",1753.08,-11996,"red",118,"Namur",103,-2409,73.5,"bad",7170.19,4.65,"small","i7",145.6,"D (could be better)","magnitude 1","widow(er)",40,"Yes",2019-02-17
1167,"4","6",11,"3",60.81,147.2,"6",2213.55,"4",1314.77,-9956,"green",150.1,"Hainaut",186,-1336,62.9,"excellent",8217.2,4.26,"normal","i5",136.4,"B (very good)","magnitude 2","legal cohabitation",57,"Yes",2019-02-18
1168,"5","9",12,"3",40.63,174.1,"8",2653.97,"2",1619.77,-14115,"red",141.1,"Luxembourg",159,-2795,63.5,"reasonable",9912.41,6.06,"small","i7",138.4,"C (good)","magnitude 1","de facto cohabiting",46,"Yes",2019-02-19
1169,"4","7",10,"1",29.89,191.2,"8",3052.82,"1",1266.32,-12243,"red",163.5,"East Flanders",167,-1827,55.2,"good",9172.19,5.57,"large","i7",145.6,"B (very good)","magnitude 3","divorced",53,"No",2019-02-20
1170,"3","7",8,"1",70.47,169.4,"6",2772.94,"5",1191.63,-12857,"green",131.3,"Walloon Brabant",115,-741,63.7,"excellent",8026.97,4.57,"large","i7",130,"C (good)","magnitude 4","de facto cohabiting",45,"No",2019-02-21
1171,"3","5",9,"5",61.88,181.4,"4",2449.63,"7",1788.37,-8643,"indigo",159.2,"East Flanders",160,-2323,64.8,"excellent",8828.43,4.69,"small","i3",128.1,"E (insufficient)","magnitude 7","married",55,"No",2019-02-22
1172,"3","4",10,"5",77.53,164.4,"8",2517.23,"4",1435.31,-9828,"violet",153.4,"West Flanders",171,-2251,55.8,"excellent",8880.8,5.1,"large","i3",159,"C (good)","magnitude 5","de facto cohabiting",52,"Yes",2019-02-23
1173,"3","6",9,"1",56.9,196.1,"11",2309.18,"2",1359.04,-11899,"green",175.4,"Walloon Brabant",128,-2217,75.9,"excellent",8342.05,4.96,"large","i7",140.9,"B (very good)","magnitude 5","single",48,"No",2019-02-24
1174,"2","4",10,"3",53.01,203.2,"8",2011.54,"7",1473.1,-9126,"red",139.5,"Walloon Brabant",147,-1214,60.6,"bad",9163.4,5.62,"small","i7",123.2,"D (could be better)","magnitude 9","de facto cohabiting",55,"No",2019-02-25
1175,"1","1",8,"1",104,194.1,"8",2860.09,"1",1749.29,-10617,"blue",171.2,"Limburg",108,-2778,59.8,"excellent",8549.46,5.03,"large","i3",118.8,"B (very good)","magnitude 9","married",42,"No",2019-02-26
1176,"4","9",9,"3",18.58,206.4,"5",3031.12,"10",1649.96,-13739,"blue",163,"East Flanders",105,-2519,67.7,"good",9062.95,5.03,"large","i7",166.7,"C (good)","magnitude 1","married",46,"Yes",2019-02-27
1177,"3","6",9,"5",67.11,175.1,"8",2641.25,"8",1573.29,-13788,"blue",182.4,"East Flanders",159,-2345,69.3,"excellent",9209.08,3.52,"large","i3",157.2,"D (could be better)","magnitude 4","de facto cohabiting",47,"No",2019-02-28
1178,"2","3",9,"3",68.9,213.9,"1",2372.76,"10",1370.88,-5981,"violet",148.3,"East Flanders",146,-1342,57.8,"reasonable",8344.48,4.93,"small","i7",159.6,"B (very good)","magnitude 8","widow(er)",51,"No",2019-03-01
